name,Worldwide,year,trailer,watched,,
Mary Poppins Returns,"$349,537,494",2018,https://www.youtube.com/results?search_query=Mary+Poppins+Returns+trailer&page=&utm_source=opensearch,0,,
Trolls,"$346,864,462",2016,https://www.youtube.com/results?search_query=Trolls+trailer&page=&utm_source=opensearch,0,,
xXx: Return of Xander Cage,"$346,118,277",2017,https://www.youtube.com/results?search_query=xXx:+Return+of+Xander+Cage+trailer&page=&utm_source=opensearch,0,,
Star Trek Beyond,"$343,471,816",2016,https://www.youtube.com/results?search_query=Star+Trek+Beyond+trailer&page=&utm_source=opensearch,0,,
A Quiet Place,"$340,939,361",2018,https://www.youtube.com/results?search_query=A+Quiet+Place+trailer&page=&utm_source=opensearch,0,,
The Eight Hundred,"$336,404,741",2020,https://www.youtube.com/results?search_query=The+Eight+Hundred+trailer&page=&utm_source=opensearch,0,,
The Great Wall,"$334,933,831",2016,https://www.youtube.com/results?search_query=The+Great+Wall+trailer&page=&utm_source=opensearch,0,,
Now You See Me 2,"$334,897,606",2016,https://www.youtube.com/results?search_query=Now+You+See+Me+2+trailer&page=&utm_source=opensearch,0,,
John Wick: Chapter 3 - Parabellum,"$326,709,727",2019,https://www.youtube.com/results?search_query=John+Wick:+Chapter+3+-+Parabellum+trailer&page=&utm_source=opensearch,0,,
Green Book,"$321,752,656",2018,https://www.youtube.com/results?search_query=Green+Book+trailer&page=&utm_source=opensearch,0,,
The Conjuring 2,"$320,392,818",2016,https://www.youtube.com/results?search_query=The+Conjuring+2+trailer&page=&utm_source=opensearch,0,,
Resident Evil: The Final Chapter,"$312,242,626",2016,https://www.youtube.com/results?search_query=Resident+Evil:+The+Final+Chapter+trailer&page=&utm_source=opensearch,0,,
The Lego Batman Movie,"$311,950,384",2017,https://www.youtube.com/results?search_query=The+Lego+Batman+Movie+trailer&page=&utm_source=opensearch,0,,
Knives Out,"$309,232,797",2019,https://www.youtube.com/results?search_query=Knives+Out+trailer&page=&utm_source=opensearch,0,,
The Ex-File 3: The Return of The Exes,"$307,592,427",2017,https://www.youtube.com/results?search_query=The+Ex-File+3:+The+Return+of+The+Exes+trailer&page=&utm_source=opensearch,0,,
Sonic the Hedgehog,"$306,766,470",2020,https://www.youtube.com/results?search_query=Sonic+the+Hedgehog+trailer&page=&utm_source=opensearch,0,,
Annabelle: Creation,"$306,515,884",2017,https://www.youtube.com/results?search_query=Annabelle:+Creation+trailer&page=&utm_source=opensearch,0,,
Wonder,"$305,937,718",2017,https://www.youtube.com/results?search_query=Wonder+trailer&page=&utm_source=opensearch,0,,
Skyscraper,"$304,868,961",2018,https://www.youtube.com/results?search_query=Skyscraper+trailer&page=&utm_source=opensearch,0,,
Dangal,"$303,723,636",2016,https://www.youtube.com/results?search_query=Dangal+trailer&page=&utm_source=opensearch,0,,
Passengers,"$303,144,152",2016,https://www.youtube.com/results?search_query=Passengers+trailer&page=&utm_source=opensearch,0,,
Alice Through the Looking Glass,"$299,457,024",2016,https://www.youtube.com/results?search_query=Alice+Through+the+Looking+Glass+trailer&page=&utm_source=opensearch,0,,
Ocean's 8,"$297,718,711",2018,https://www.youtube.com/results?search_query=Ocean's+8+trailer&page=&utm_source=opensearch,0,,
Miss Peregrine's Home for Peculiar Children,"$296,482,446",2016,https://www.youtube.com/results?search_query=Miss+Peregrine's+Home+for+Peculiar+Children+trailer&page=&utm_source=opensearch,0,,
Ferdinand,"$296,069,199",2017,https://www.youtube.com/results?search_query=Ferdinand+trailer&page=&utm_source=opensearch,0,,
Pacific Rim: Uprising,"$290,930,148",2018,https://www.youtube.com/results?search_query=Pacific+Rim:+Uprising+trailer&page=&utm_source=opensearch,0,,
Maze Runner: The Death Cure,"$288,175,335",2018,https://www.youtube.com/results?search_query=Maze+Runner:+The+Death+Cure+trailer&page=&utm_source=opensearch,0,,
Split,"$278,454,358",2017,https://www.youtube.com/results?search_query=Split+trailer&page=&utm_source=opensearch,0,,
Tomb Raider,"$274,650,803",2018,https://www.youtube.com/results?search_query=Tomb+Raider+trailer&page=&utm_source=opensearch,0,,
Terminator: Dark Fate,"$261,119,292",2019,https://www.youtube.com/results?search_query=Terminator:+Dark+Fate+trailer&page=&utm_source=opensearch,0,,
Blade Runner 2049,"$259,239,658",2017,https://www.youtube.com/results?search_query=Blade+Runner+2049+trailer&page=&utm_source=opensearch,0,,
Kung Fu Yoga,"$257,743,016",2017,https://www.youtube.com/results?search_query=Kung+Fu+Yoga+trailer&page=&utm_source=opensearch,0,,
Parasite,"$257,555,771",2019,https://www.youtube.com/results?search_query=Parasite+trailer&page=&utm_source=opensearch,0,,
Halloween,"$255,485,178",2018,https://www.youtube.com/results?search_query=Halloween+trailer&page=&utm_source=opensearch,0,,
Get Out,"$255,407,969",2017,https://www.youtube.com/results?search_query=Get+Out+trailer&page=&utm_source=opensearch,0,,
Us,"$255,184,580",2019,https://www.youtube.com/results?search_query=Us+trailer&page=&utm_source=opensearch,0,,
Baahubali 2: The Conclusion,"$254,158,390",2017,https://www.youtube.com/results?search_query=Baahubali+2:+The+Conclusion+trailer&page=&utm_source=opensearch,0,,
Men in Black: International,"$253,890,701",2019,https://www.youtube.com/results?search_query=Men+in+Black:+International+trailer&page=&utm_source=opensearch,0,,
X-Men: Dark Phoenix,"$252,442,974",2019,https://www.youtube.com/results?search_query=X-Men:+Dark+Phoenix+trailer&page=&utm_source=opensearch,0,,
Journey to the West: The Demons Strike Back,"$247,585,244",2017,https://www.youtube.com/results?search_query=Journey+to+the+West:+The+Demons+Strike+Back+trailer&page=&utm_source=opensearch,0,,
Glass,"$246,999,039",2019,https://www.youtube.com/results?search_query=Glass+trailer&page=&utm_source=opensearch,0,,
Dolittle,"$246,376,719",2020,https://www.youtube.com/results?search_query=Dolittle+trailer&page=&utm_source=opensearch,0,,
Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848",2016,https://www.youtube.com/results?search_query=Teenage+Mutant+Ninja+Turtles:+Out+of+the+Shadows+trailer&page=&utm_source=opensearch,0,,
The Bravest,"$245,179,562",2019,https://www.youtube.com/results?search_query=The+Bravest+trailer&page=&utm_source=opensearch,0,,
Alien: Covenant,"$240,891,763",2017,https://www.youtube.com/results?search_query=Alien:+Covenant+trailer&page=&utm_source=opensearch,0,,
Sully,"$240,797,623",2016,https://www.youtube.com/results?search_query=Sully+trailer&page=&utm_source=opensearch,0,,
Assassin's Creed,"$240,697,856",2016,https://www.youtube.com/results?search_query=Assassin's+Creed+trailer&page=&utm_source=opensearch,0,,
Crazy Rich Asians,"$238,532,921",2018,https://www.youtube.com/results?search_query=Crazy+Rich+Asians+trailer&page=&utm_source=opensearch,0,,
